51,Taj Mahotsav Hotel,Prayagraj,₹11000,A luxurious hotel offering modern amenities in the heart of Prayagraj.
121,The Westin Hyderabad,Hyderabad,₹23000,A contemporary hotel with upscale facilities and stunning views of Hitec City.
122,Radisson Blu Resort,Goa,₹31000,A beachfront resort with a vibrant atmosphere and direct access to Cavelossim Beach.
123,JW Marriott Mumbai Sahar,Mumbai,₹25000,A luxurious hotel located near Mumbai's international airport, offering modern amenities.
124,ITC Gardenia,Bengaluru,₹30000,A luxury hotel known for its lush gardens and impeccable service in the heart of Bengaluru.
125,Crowne Plaza,Jaipur,₹19500,A modern hotel with well-appointed rooms and convenient access to Jaipur's attractions.
126,The Lalit Great Eastern,Kolkata,₹26000,A heritage hotel known for its colonial charm and elegant interiors.
127,Taj Krishna,Hyderabad,₹22000,A luxury hotel with modern amenities located in the upscale Banjara Hills.
128,Radisson Blu Jaipur,Jaipur,₹19000,A contemporary hotel with easy access to Jaipur's attractions and business districts.
129,ITC Grand Bharat,Gurugram,₹35000,A luxury resort set amidst lush greenery and offering world-class amenities.
130,The Oberoi,Vanyavilas,Ranthambhore,₹38000,A luxury jungle resort offering a unique wildlife experience near Ranthambhore National Park.
131,Novotel Hyderabad Airport,Hyderabad,₹20000,A contemporary hotel located near Rajiv Gandhi International Airport, perfect for transit stays.
132,Hyatt Regency,Mumbai,₹28000,A contemporary hotel with modern amenities and easy access to Mumbai's business hubs.
133,Courtyard by Marriott,Chennai,₹21000,A stylish hotel with well-appointed rooms, suitable for both business and leisure travelers.
134,Radisson Blu Pune Hinjawadi,Pune,₹24000,A contemporary hotel with upscale facilities, perfect for business travelers.
135,The Leela Palace,New Delhi,₹38000,A luxury hotel known for its opulent accommodations and impeccable service.
136,The Oberoi,Wildflower Hall,Shimla,₹32000,A luxury mountain resort located in the Himalayas offering breathtaking views.
137,Novotel Bengaluru Outer Ring Road,Bengaluru,₹22000,A modern hotel with upscale facilities, perfect for both business and leisure travelers.
138,Taj Krishna,Hyderabad,₹26000,A luxury hotel with modern amenities located in the upscale Banjara Hills.
139,Radisson Blu Hotel,Indore,₹19000,A contemporary hotel with modern amenities, offering a comfortable stay in Indore.
140,The Oberoi Cecil,Shimla,₹30000,A heritage hotel with British colonial architecture, offering a serene stay in Shimla.
141,ITC Windsor,Bengaluru,₹28000,A heritage hotel offering a blend of Victorian and Indian architecture.
142,Courtyard by Marriott,Pune City Centre,Pune,₹23000,A stylish hotel with well-appointed rooms, suitable for business and leisure travelers.
143,The Oberoi Amarvilas,Agra,₹36000,A 5-star hotel with views of the Taj Mahal from every room.
144,Taj Exotica Resort,Andamans,₹42000,A luxury resort set amidst tropical paradise, offering a tranquil beachside retreat.
145,Hyatt Regency,Mumbai,₹26000,A contemporary hotel located near Mumbai's airport, offering modern amenities.
146,Radisson Blu Hotel,Varanasi,₹24000,A modern hotel with upscale facilities, offering easy access to Varanasi's spiritual sites.
147,Courtyard by Marriott,Goa,₹21000,A stylish hotel with well-appointed rooms, suitable for both business and leisure travelers.
148,The Oberoi Mumbai,Mumbai,₹32000,A luxury hotel located near Marine Drive known for its warm hospitality and sea views.
149,The Westin Sohna Resort,Gurugram,₹28000,A luxury resort set amidst lush greenery, perfect for a relaxing getaway.
150,ITC Grand Chola,Chennai,₹36000,A luxurious hotel with intricate Dravidian architecture and lavish amenities.
